,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
127,"Chicago, IL",Northwestern University,Includes ~30% effort in laboratory management for team of 6-8 scientists. Performs scientific literature searches in support of research....,a089706ac40298e5,Research Technologist 2,,52.199997,174,26 days,2016-10-17 21:24:16.414864
128,"Chicago, IL",General Assembly,"Our Data Science Immersive course is a brand-new, life-changing educational experience where students leave with the skills and mindsets to take on new careers...",3bc852a0b9cf89da,Lead Data Science Instructor,,52.800003,74,30+ days,2016-10-17 21:24:16.414864
129,"Chicago, IL",Civis Analytics,"With a specialization in unstructured data, this Senior Data Scientist role will apply techniques from fields such as machine learning, applied statistics,...",395222238693e370,Senior Data Scientist - Unstructured Data,,,,27 days,2016-10-17 21:24:16.414864
130,"Chicago, IL",Johnson Controls,"The team consists of prior consultants, retail operations experts, data scientists, developers, BI analysts and customer engagement managers....",a23832daf2d9338b,"Director, Advanced Analytics",,44.4,2177,30+ days,2016-10-17 21:24:16.414864
131,"Chicago, IL",S.C. International,"Seeking strong proficiency with SAS, SQL, and/or R. Extremely successful consulting practice has an immediate need for a Statistical Analyst....",45a96f628604e04f,Statistical Analyst -- Health-7444,"$80,000 a year",,,30+ days,2016-10-17 21:24:16.414864
132,"Chicago, IL",University of Chicago,A current resident of the Chicago area or willing to relocate to the Chicago area required. Ability to manage confidential information with discretion and tact...,ec1fa99a01867f3b,"Analyst, Prospect Research",,52.800003,226,23 days,2016-10-17 21:24:16.414864
133,"Chicago, IL 60606 (Loop area)",Crowe Horwath,Special Skills Excellent communication skills Expert level programming skills in R Experience with a statistical package and various programming languages such...,18f63b3c75e06ece,Data Scientist/Statistics - Applied Technology - 12729,,42.6,78,30+ days,2016-10-17 21:24:16.414864
134,"Chicago, IL 60601 (Loop area)",Allstate Insurance,"Candidates should draw from the fields of GIS, statistics, machine learning and/or predictive analytics. Manages data and data requests to improve the accuracy...",f474bbe40f2b1782,Geospatial Data Scientist,,44.4,2837,30+ days,2016-10-17 21:24:16.414864
135,"Chicago, IL",McKinsey & Company,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,000 dedicated professionals (including more than 800 analysts and data scientists)...",cfb11e24fdc6deaa,Senior Manager Learning Portfolio,,52.800003,169,10 days,2016-10-17 21:24:16.414864
136,"Chicago, IL",Civis Analytics,"Participate alongside designers, engineers, data scientists, and subject-matter experts in a design sprint. Civis teams are cross-functional and collaborative,...",88d14a789a2bf0d2,Product Management Internship - Summer 2017,,,,30+ days,2016-10-17 21:24:16.414864
