,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
73,"Cambridge, MA",Cogo Labs,"You'll design and implement marketing programs, manage performance, and use the insights you gain to drive growth in user engagement and revenue....",6b8460ce59008436,Quantitative Analyst,,,,30+ days,2016-10-17 21:30:39.662904
74,"Boston, MA",Partners HealthCare(PHS),"With unparalleled access to clinical data and expert clinicians, as well as a world-class information technology (IT) team, the Clinical Data Science Center...",360e70ed35eebd15,Data Scientist,,,,30+ days,2016-10-17 21:30:39.662904
75,"Boston, MA",Broad Institute,"Effectively communicating structural insights within cross-functional project teams. Exhibiting independent scientific troubleshooting, time management and...",a9ffa065d0a2bf00,Research Scientist,,51.6,17,12 days,2016-10-17 21:30:39.662904
76,"Lexington, MA",Shire,The Senior Statistical Programmer I will support the clinical project teams by:. Ensure high quality results and project milestones are achieved efficiently....,90452c5d44495aa1,Statistical Programmer,,43.8,161,19 days,2016-10-17 21:30:39.662904
77,"Lexington, MA",MIT Lincoln Laboratory,"The Cyber Analytics and Decision Systems Group comprises computer scientists, mathematicians, machine learning researchers and practitioners, system analysts,...",b9d4a3dd221de435,Cyber Data Analytics Engineer,,52.800003,14,17 days,2016-10-17 21:30:39.662904
78,"Framingham, MA",Applause,"Data Engineer, Framingham, MA (Greater Boston Area). Whether working with PostgreSQL, MySQL, MongoDB, Redis, DynamoDB, or Google BigQuery, we need your passion...",c23cfe29773b7c88,Data Scientist,,54.0,6,29 days,2016-10-17 21:30:39.662904
79,"Newton, MA",IT Links,"Or PhD in a relevant technical discipline, such as machine learning, computer science, physics, engineering, mathematics, statistics, or related field, or 3+...",1809fba8b58cf037,Data Scientist,,,,13 days,2016-10-17 21:30:39.662904
80,"Cambridge, MA",demandware,Practical experience in machine learning or personalization MS or PhD in a quantitative discipline with 2+ years of experience or a BS in a quantitative...,9ea07d6427756f8b,Data Scientist - Predictive Intelligence/AI - Member of Tech...,,53.4,5,27 days,2016-10-17 21:30:39.662904
81,"Boston, MA",Spencer Ogden,"Description Seeking Data Scientist (5 years) with experience working on data service products/algorithms Data modelling, datasets, regression, statistics Code...",36115a7807eca147,Sr. Data Scientist,,41.4,7,11 days,2016-10-17 21:30:39.662904
82,"Woburn, MA 01801",Systems & Technology Research,"Systems & Technology Research (STR) is seeking data scientists and machine learning researchers to support an exciting new project in the Washington, DC area....",6014667ea48259e7,"Data Scientist/Machine Learning Researcher - Arlington, VA",,,,15 days,2016-10-17 21:30:39.662904
83,"Boston, MA 02111 (Central area)",Celect,You will collaborate with a talented and agile team of engineers and data scientists building the next generation of retail optimization based on machine...,7bdac1f78d860705,Data Scientist,,,,26 days,2016-10-17 21:30:39.662904
84,"Cambridge, MA",EverQuote,"We need smart, quantitative people to rip through data and find trends that will help us grow. You might know a programming language – Python, Ruby, R, etc. (a...",ff28c7f928153510,Quantitative Analyst,,,,30+ days,2016-10-17 21:30:39.662904
85,"Boston, MA",General Assembly,"Our Data Science Immersive course is a brand-new, life-changing educational experience where students leave with the skills and mindsets to take on new careers...",39b6dfd1dadfb833,Data Science Instructor,,52.800003,74,30+ days,2016-10-17 21:30:39.662904
86,"Cambridge, MA",BioPoint,"MPH/MS/PhD in Behavioral Health Services, Biostatistics, Comparative Effectiveness, Epidemiology, Health Economics, Economics, Health Services Research,...",906886eff7c784a6,Economics Outcomes (HEOR) Statistician (3021),,,,4 days,2016-10-17 21:30:39.662904
87,"Boston, MA",Booz Allen Hamilton,"Develop machine learning, data mining, and statistical and graph-based algorithms designed to analyze massive data sets and partner with Cloud technologists to...",b4fb6047f11934b9,Data Scientist,,44.4,946,30+ days,2016-10-17 21:30:39.662904
88,"Cambridge, MA",Medix,Independently review the relevant literature to understand and propose the best methods that can be applied to the needs of the group....,48faaf953602c38e,Associate Scientist,,43.8,56,11 days,2016-10-17 21:30:39.662904
