,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
38,"Washington, DC",Salient CRGT,Salient CRGT is seeking a Statistician to join our Data Analytics division. Conduct ad hoc data queries to answer complex data inquiries....,35bb9e9eb556eda7,Statistician,,,,5 days,2016-10-17 21:32:25.026828
39,"Adelphi, MD",ICF,"Experience with various databases, machine learning techniques, approaches to big data analytics, and experience developing data mining algorithms*....",3990d15eedc1f7b6,Data Scientist,,41.4,234,30+ days,2016-10-17 21:32:25.026828
40,"Washington, DC",Penn Schoen Berland,"The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...",41343e576e7aebdf,Data Scientist,,51.0,2,27 days,2016-10-17 21:32:25.026828
41,"Arlington, VA 22202 (Aurora Highlands area)",DECISIVE ANALYTICS Corporation,"DECISIVE ANALYTICS Corporation is seeking applicants for a Machine Learning Software Engineer Internship in the Washington, D.C....",cdd8197750071717,Machine Learning Software Engineer Internship,,55.199997,9,10 days,2016-10-17 21:32:25.026828
42,"College Park, MD","INNOVIM, LLC","The position is located in College Park, MD and candidates are expected to have a doctoral degree in atmospheric and oceanic sciences, applied mathematics,...",dbf2f382b68db8b2,Scientist - Global Ocean Data,,39.0,2,30+ days,2016-10-17 21:32:25.026828
43,"Bethesda, MD",Vencore,"The Scientist Level 1 shall provide scientific program support for Task Orders within this program. Vencore is a proven provider of information solutions,...",8a2a3e10e2580f6c,Predictive Modeling Analyst I,,42.0,43,30+ days,2016-10-17 21:32:25.026828
44,"Washington, DC 20032 (Anacostia area)",Lexington Solutions Group,"Analytical tools, data mining or database. Analyze and determine informational needs and elements, data relationships and attributes, proposed manipulation,...",1bdc6563410ec780,Data Scientist,,,,30+ days,2016-10-17 21:32:25.026828
45,"McLean, VA",Byte Systems,"Demonstrated experience of appropriate analytic methods and methodological tools in the following areas Applied mathematics (e.g., probability and statistics,...",28c45fb4751c28f9,Data Scientist,,,,19 days,2016-10-17 21:32:25.026828
46,"College Park, MD",University of Maryland,"Excel, SQL and SAS are utilized for evaluation, storage and statistical analysis of laboratory data and large data sets....",64cfc7189166fffe,Analyst (Statistician),,52.199997,409,19 days,2016-10-17 21:32:25.026828
47,"Alexandria, VA",Booz Allen Hamilton,"Serve as an experienced, forward-thinking, and innovative data scientist, curating data in support of a spatial temporal data analysis R&D mission for a...",32b610bb822b811f,Data Scientist / Curator,,44.4,946,11 days,2016-10-17 21:32:25.026828
48,"Washington, DC",T3 Trading Group LLC,"If you have a strong analytical and statistical background along with current market experience, please send an updated resume to discuss a potential career...",54c3e02732405a28,Statistical Pairs Trading Positions,,51.0,4,23 days,2016-10-17 21:32:25.026828
49,"Washington, DC",OBXtek,"Advise and support the IT Office and/or outside contractors with the development and implementation of a new database for engagements, ensuring that the...",03be8cd09ec4b070,Counterterrorism Communications Data Scientist,,40.2,6,30+ days,2016-10-17 21:32:25.026828
50,"Washington, DC",IC-CAP,5+ years of experience in working closely with data analysts or as a data analyst. Applicants selected will be subject to a security investigation and may need...,b44e9efd982604e8,Data Scientist,,,,30+ days,2016-10-17 21:32:25.026828
51,"Arlington, VA",Halfaker and Associates,Experience with applying and implementing Cross Industry Standard Process for Data Mining (CRISP-DM) methodology on projects preferred....,8a05886cb4e40fd5,Data Scientist,,52.800003,4,30+ days,2016-10-17 21:32:25.026828
52,"Chevy Chase, MD",GEICO,"Team members also gather, manage, present, and publish external information about competitors and their pricing and product offerings....",14def57d7652fb1c,"Competitive Intelligence Analyst - Business Analyst, Researc...",,42.6,1432,2 days,2016-10-17 21:32:25.026828
53,"Washington, DC",HelloWallet,"This includes the environment for running optimized email campaigns, ingesting customer data, and assisting with visualizations and reporting from our analysts...",bc56a2aef940a05e,Junior Data Analyst – Client Success,,,,17 hours,2016-10-17 21:32:25.026828
54,"Chantilly, VA",CCRi,We conduct research and development in data mining and machine learning techniques to solve complex problems and then implement scalable solutions in data...,b61963f14efcec9f,Data Scientist,,42.0,11,12 days,2016-10-17 21:32:25.026828
55,"Washington, DC",Plus3 IT Systems,"Minimum 5 years working on complex data/database projects as a data analyst, data architect, or database engineer....",0c3d7ede3d7f442e,Data Scientist - Architect,,,,16 days,2016-10-17 21:32:25.026828
56,"Washington, DC",Vox Media,"In an executive management role, you’ll build, lead and directly manage a cross-functional team of Data Scientists, Analysts and Product Managers, collaborating...",fc21fa79e654a973,"VP, Data and Insights",,52.800003,4,4 hours,2016-10-17 21:32:25.026828
57,"Washington, DC 20036 (Downtown area)",KPMG,"Utilize analytics to explore data, and identify key trends and insights from multi-faceted, and high-dimensional data, and work with data scientists to create...",9e5e70fcef59fcf1,Data Visualization Software Engineer,,51.0,1768,3 days,2016-10-17 21:32:25.026828
