,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
95,"Eden Prairie, MN",i3,Provide scientific leadership and project management on multiple outcomes research and health economic studies....,e71c3d046310dd7e,Senior Researcher,,43.8,8,30+ days,2016-10-17 21:42:26.854409
96,"Minneapolis, MN",PepsiCo,Integrate off-the-shelf solutions with project-specific design elements to create a discovery and applications pipeline that enables field and bench scientists...,bcd5607e1cc23f42,Crop Computational Biology Lead,,44.4,5094,30+ days,2016-10-17 21:42:26.854409
97,"Eden Prairie, MN 55347",Genesis10,Improve and further develop machine learning programs leveraging single machine architectures and highly distributed Hadoop/Spark clusters....,205ab8a8e9e865ff,Python Developer,,51.0,27,6 days,2016-10-17 21:42:26.854409
98,"Minneapolis, MN",U.S. Bank,Ability to manage multiple concurrent assignments and projects. Bank is an equal opportunity employer committed to creating a diverse workforce....,8ec4c8b1b2c0622b,Research and Due Diligence Analyst,,43.2,2961,30+ days,2016-10-17 21:42:26.854409
99,"Maple Grove, MN",Boston Scientific Corporation,"This position works independently to assist R&D engineers, scientists, and/or teams in the development and analysis of products, materials, processes, or...",2117983a3c5d9982,R&D Technician III,,51.0,561,19 days,2016-10-17 21:42:26.854409
100,"Eden Prairie, MN",Infinity Consulting Solutions,Improve and further develop machine learning programs leveraging single machine architectures and highly distributed Hadoop/Spark clusters....,7b8abef18b6b95c7,Python Developer,"$105,000 - $120,000 a year",43.8,6,11 days,2016-10-17 21:42:26.854409
101,"Saint Paul, MN 55120",Cray,"CRAY) provides innovative systems and solutions enabling scientists and engineers in industry, academia and government to meet existing and future simulation...",e7767ae7f81cfc33,OS Test Feature Tester,,52.800003,3,23 days,2016-10-17 21:42:26.854409
102,"Minneapolis, MN",WELLS FARGO BANK,Marketing Sciences is a critical team within the Marketing Insights & Analytics team that is responsible for building sophisticated models and developing...,392f26199f883ac1,Marketing Scientist,,43.8,13899,30+ days,2016-10-17 21:42:26.854409
103,"Arden Hills, MN",Boston Scientific,"Provide thought leadership and project leadership to develop advanced analytic methodologies to detect patterns in mid- and large-scale clinical, product...",cc55f4afce4e7763,Senior Statistician Job,,51.0,561,12 days,2016-10-17 21:42:26.854409
104,"Saint Paul, MN 55120",Cray,"CRAY) provides innovative systems and solutions enabling scientists and engineers in industry, academia and government to meet existing and future simulation...",3cc126c9e43ccf2a,Service Planner,,52.800003,3,19 days,2016-10-17 21:42:26.854409
105,"Minnetonka, MN",UnitedHealth Group,"Healthcare Analytics Consultant is responsible for performing comprehensive research and analysis, managing analytical project portfolios, identifying...",23bcb6d49a338839,Healthcare Analytics Consultant - Telecommute,,43.2,4187,30+ days,2016-10-17 21:42:26.854409
106,"Golden Valley, MN",NAMSA,Confirms appropriate regulations and quality are being applied in the performance and documentation of clinical studies....,6eba14568fd5238b,"MRM Manager, Clinical Research Services",,42.0,20,21 days,2016-10-17 21:42:26.854409
