,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
17,"Glendale, CO",LENDERLIVE NETWORK LLC,"Ensure adherence to companyhedge and pricing policies. 1 to 3 years quantitativeanalysis, hedging and trading experience....",e6d04e1db555edaf,Quantitative Trading Analyst,,,,16 days,2016-10-17 21:34:50.519659
18,"Englewood, CO",AristonTek Inc,"Serving as a subject matter expert in the capabilities of Data Science. Advanced knowledge of two or more of the analytics languages/toolkits such as R, SAS,...",626c0826f02fc747,Need Data Scientist consultant,,,,10 days,2016-10-17 21:34:50.519659
19,"Denver, CO",General Assembly,"Python, Machine Learning, Probability, Statistics, manipulation of large data sets, data visualization techniques....",5218f2cb2043174b,Part-time Data Science Instructor,,52.800003,74,23 days,2016-10-17 21:34:50.519659
20,"Denver, CO",Galvanize,"Lead Instructor, Principal Data Scientist. Join us in building the world's hub for education in data science and data engineering....",c12d16302c838b45,"Lead Instructor, Principal Data Scientist",,60.0,2,16 days,2016-10-17 21:34:50.519659
21,"Aurora, CO",Staples,Collaborate with data scientists in other departments to conduct analysis and research which gives a full view of the customer experience (e.g....,5af82c828adf06e1,Senior Insight Analyst,,43.2,5429,21 days,2016-10-17 21:34:50.519659
22,"Centennial, CO 80111",S&P GLOBAL MARKET INTELLIGENCE,"Consistently make sound data collection decisions. If you need an accommodation during the application process due to a disability, please send an email to:....",16c476c9c13d93da,ANALYST-DATA RESEARCH I,,43.2,20,12 days,2016-10-17 21:34:50.519659
23,"Denver, CO 80202 (Lodo area)",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Five years of professional experience working as a Data...",67ab7f5951ce7a5c,Sr Associate - Data Scientist,,51.0,1768,25 days,2016-10-17 21:34:50.519659
24,"Centennial, CO",Pearson,"As a data scientist in machine learning, you will have the opportunity to leverage Pearson’s rich data and in collaboration with our innovative scientists and...",9668f5d7768bf6cc,"Senior Data/Research Scientist, Machine Learning",,43.8,783,26 days,2016-10-17 21:34:50.519659
25,"Denver, CO",AdTaxi Networks,They will validate and deliver quality data to analysts and data scientists as well as work with data engineers to troubleshoot and performance tune ETL....,85997d76894dd5cc,Data Quality and ETL Analyst,,,,13 days,2016-10-17 21:34:50.519659
26,"Englewood, CO 80112",Arrow Electronics,3 years experience developing and implementing decision support systems in a business intelligence analyst or data scientist role....,d02abc6204417bce,Big Data Developer I,,42.6,276,30+ days,2016-10-17 21:34:50.519659
27,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",43a0e3af32d3ca10,Data Scientist,,40.8,2067,30+ days,2016-10-17 21:34:50.519659
28,"Aurora, CO",University of Colorado,"Monitor trends in biomedical data curation, clinical translational sciences, and biomedical research. With six schools and colleges, CU Anschutz trains the...",a73b8ccb6e10c740,Bioinformationist,"$50,000 - $63,000 a year",51.6,140,25 days,2016-10-17 21:34:50.519659
29,"Boulder, CO","Riverside Technology, inc.",Riverside is seeking a Scientific Programmer to work on the Joint Effort for Data assimilation Integration (JEDI) in support of the U.S....,8a3826d7623e5f01,Scientific Programmer,,,,25 days,2016-10-17 21:34:50.519659
30,"Boulder, CO 80302",Google,"The Google Cloud training team already develops and delivers Google Cloud Platform product and solution training to thousands of partners, end-users and...",a3bda49fe6643525,"Cloud Instructor (Big Data, Machine Learning), Google Cloud...",,52.800003,1219,3 days,2016-10-17 21:34:50.519659
31,"Boulder, CO",University of Colorado,Part of a team that supports the teaching and research of scientists in the. Health & Human Sciences Librarian....,f93ef48f9f69d240,Health & Human Sciences Librarian,"$50,500 a year",51.6,140,59 minutes,2016-10-17 21:34:50.519659
